ReviewID,Review,Hotel,City,UserName,Polarity
2,"This place is not worth your time, let alone Vegas.",Novotel,Pune,Sayali,0
6,Service was very prompt.,Oberoi,Kolkata,Om,1
7,"This place is not worth your time, let alone Vegas.",Taj,Kolkata,Manasi,0
8,"This hole in the wall has great Mexican street tacos, and friendly staff.",Taj,Kolkata,Sayali,1
9,"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",Marriott,Kolkata,Anjali,1
10,Not tasty and the texture was just nasty.,Hilton,Mumbai,Krishna,0
11,"The burger is good beef, cooked just right.",Taj,Mumbai,Manasi,1
12,"Loved it...friendly servers, great food, wonderful and imaginative menu",ITC,Mumbai,Payal,1
13,Not much seafood and like 5 strings of pasta at the bottom.,Maratha,Mumbai,Payal,0
14,The cocktails are all handmade and delicious.,WelcomHotel,Bangalore,Payal,0
16,"In summary, this was a largely disappointing dining experience.",Conrad,Bangalore,Abhi,1
17,"REAL sushi lovers, let's be honest - Yama is not that good.",Windsor,Bangalore,Payal,1
18,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,WelcomHotel,Bangalore,Sayali,1
19,"This place is not worth your time, let alone Vegas.",WelcomHotel,Bangalore,Anita,0
20,That's right....the red velvet cake.....ohhh this stuff is so good.,WelcomHotel,Bangalore,Pranali,1
21,2 times - Very Bad Customer Service !,WelcomHotel,Bangalore,Sayali,0
22,The turkey and roast beef were bland.,WelcomHotel,Bangalore,Anita,0
23,"In summary, this was a largely disappointing dining experience.",WelcomHotel,Bangalore,Abhi,1
24,All I have to say is the food was amazing!!!,WelcomHotel,Bangalore,Arjun,1
25,The poor batter to meat ratio made the chicken tenders very unsatisfying.,WelcomHotel,Bangalore,Anita,0
26,This place has it!,WelcomHotel,Bangalore,Pranali,1
27,We'll never go again.,Leela,Bangalore,Anita,0
28,Food arrived quickly!,Leela,Bangalore,Pranali,1
29,It was not good.,Leela,Bangalore,Arjun,1
30,"REAL sushi lovers, let's be honest - Yama is not that good.",Leela,Bangalore,Sayali,1
31,Kind of hard to mess up a steak but they did.,Leela,Bangalore,Sayali,0
32,Will go back next trip out.,Leela,Bangalore,Anita,0
33,This is a really fantastic Thai restaurant which is definitely worth a visit.,Leela,Bangalore,Abhi,1
34,What I really like there is the crepe station,Conrad,Bangalore,Sayali,1
35,"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",Conrad,Bangalore,Abhi,0
36,I ordered the Lemon raspberry ice cocktail which was also incredible.,Conrad,Bangalore,Anjali,0
37,I dressed up to be treated so rudely!,Conrad,Bangalore,Sayali,1
38,The service here leaves a lot to be desired.,Conrad,Bangalore,Arjun,0
39,The waitresses are very friendly.,Conrad,Bangalore,Sayali,0
40,The best place to go for a tasty bowl of Pho!,Conrad,Bangalore,Anita,0
41,"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",Windsor,Bangalore,Abhi,0
42,"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",Windsor,Bangalore,Payal,0
43,She ordered a toasted English muffin that came out untoasted,Windsor,Bangalore,Anita,0
44,The food was very good,Windsor,Bangalore,Payal,1
45,There is nothing authentic about this place.,Windsor,Bangalore,Manasi,1
46,I will come back here every time I'm in Vegas,Windsor,Bangalore,Payal,0
47,Def coming back to bowl next time,Windsor,Bangalore,Anita,0
48,WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED,Windsor,Bangalore,Payal,0
49,"In an interesting part of town, this place is amazing.",Maratha,Mumbai,Manasi,1
50,And the beans and rice were mediocre at best,Windsor,Bangalore,Arjun,1
51,"I find wasting food to be despicable, but this just wasn't food.",Windsor,Bangalore,Payal,0
52,They dropped more than the ball.,Windsor,Bangalore,Abhi,0
53,"The staff are great, the ambiance is great.",Windsor,Bangalore,Payal,1
54,Food was really good and I got full petty fast.,ITC,Kolkata,Abhi,1
55,"Strike 2, who wants to be rushed.",ITC,Kolkata,Anita,0
56,First time going but I think I will quickly become a regular.,ITC,Kolkata,Anita,0
57,But now I was completely grossed out.,ITC,Kolkata,Abhi,1
58,"For service, I give them no stars.",ITC,Kolkata,Anita,0
59,I'll take my business dinner dollars elsewhere.,ITC,Kolkata,Abhi,0
60,I don't think we'll be going back anytime soon.,Oberoi,Kolkata,Payal,0
61,Food was so gooodd,Oberoi,Kolkata,Abhi,1
62,Don't waste your time here.,Oberoi,Kolkata,Payal,0
63,The steaks are all well trimmed and also perfectly cooked.,Oberoi,Kolkata,Manasi,1
64,My gyro was basically lettuce only.,Marriott,Kolkata,Payal,0
65,Overall I wasn't very impressed with Noca.,Taj,Kolkata,Anita,1
66,I would not recommend this place.,Taj,Kolkata,Payal,0
67,The waitress and manager are so friendly.,Taj,Kolkata,Manasi,1
68,Cant say enough good things about this place.,Taj,Kolkata,Payal,1
69,"I'd rather eat airline food, seriously.",Taj,Kolkata,Anita,1
70,By far the BEST cheesecurds we have ever had!,Marriott,Kolkata,Payal,0
71,first time there and might just be the last.,Marriott,Kolkata,Abhi,0
72,"A greasy, unhealthy meal.",Marriott,Kolkata,Krishna,1
73,If there were zero stars I would give it zero stars,Marriott,Kolkata,Krishna,0
74,Just spicy enough.. Perfect actually,Marriott,Kolkata,Arjun,1
75,I would recommend saving room for this!,Marriott,Kolkata,Siddhi,0
76,Generous portions and great taste.,Marriott,Kolkata,Arjun,1
77,Food was average at best.,Orchid,Pune,Suyasha,0
78,We won't be going back anytime soon!,Orchid,Pune,Arjun,0
79,Very Very Disappointed ordered the $35 Big Bay Plater.,Orchid,Pune,Suyasha,1
80,Great place to relax and have an awesome burger and beer.,Orchid,Pune,Arjun,1
81,It is PERFECT for a sit-down family meal or get together with a few friends.,Orchid,Pune,Payal,1
82,"Not much flavor to them, and very poorly constructed",Orchid,Pune,Anita,1
84,It was just not a fun experience.,Orchid,Pune,Anjali,0
86,Google mediocre and I imagine Smashburger will pop up,Orchid,Pune,Anjali,0
87,The plantains were the worst I've ever tasted.,Novotel,Pune,Payal,0
88,It's a great place and I highly recommend it.,Novotel,Pune,Anita,1
90,"I gave it 5 stars then, and I'm giving it 5 stars now",Novotel,Pune,Abhi,1
91,Your staff spends more time talking to themselves than me.,Novotel,Pune,Anjali,0
92,Dessert: Panna Cotta was amazing.,Novotel,Pune,Siddhi,0
93,Damn good steak.,Novotel,Pune,Suyasha,1
94,Total brunch fail.,Novotel,Pune,Arjun,0
95,"I probably won't be back, to be honest.",Novotel,Pune,Suyasha,0
96,will definitely be back!,Conrad,Pune,Anjali,1
97,Went for lunch - service was slow.,Conrad,Pune,Suyasha,0
98,I was mortified.,Conrad,Pune,Arjun,0
99,"Needless to say, we will never be back here again.",Conrad,Pune,Siddhi,0
100,I wasn't really impressed with Strip Steak.,Conrad,Pune,Anita,1
101,Have been going since 2007 and every meal has been awesome!!,Conrad,Pune,Anita,0
102,Our server was very nice and attentive as were the other serving staff,Conrad,Pune,Manasi,1
103,Would not recommend to others.,Conrad,Pune,Arjun,0
104,"Service is quick and even ""to go"" orders are just like we like it!",Conrad,Pune,Om,0
105,Not my thing.,Courtyard,Pune,Manasi,0
106,If you are reading this please don't go there.,Courtyard,Pune,Anita,0
107,"I loved the grilled pizza, reminded me of legit Italian pizza.",Courtyard,Pune,Om,1
108,They have a really nice atmosphere.,Courtyard,Pune,Manasi,1
109,Tonight I had the Elk Filet special...and it sucked.,Courtyard,Pune,Payal,1
110,"Probably never coming back, and wouldn't recommend it.",Courtyard,Pune,Om,0
111,"Friend's pasta -- also bad, he barely touched it.",Courtyard,Pune,Manasi,0
112,Nicest Chinese restaurant I've been in a while.,Courtyard,Pune,Anita,1
113,"Overall, I like there food and the service.",Courtyard,Pune,Om,0
114,"Probably never coming back, and wouldn't recommend it.",Hilton,Mumbai,Pranali,0
115,"Friend's pasta -- also bad, he barely touched it.",Hilton,Mumbai,Anita,0
116,I love the decor with the Chinese calligraphy wall paper.,Hilton,Mumbai,Abhi,1
117,Never had anything to complain about here.,Hilton,Mumbai,Payal,0
118,The restaurant is very clean and has a family restaurant feel to it.,Hilton,Mumbai,Anita,1
119,It was way over fried.,Hilton,Mumbai,Payal,0
120,"When I opened the sandwich, I was impressed, but not in a good way",Hilton,Mumbai,Payal,1
121,Will not be back!,Hilton,Mumbai,Pranali,0
122,An extensive menu provides lots of options for breakfast.,Hilton,Mumbai,Payal,0
123,"I got to enjoy the seafood salad, with a fabulous vinegrette.",Hilton,Mumbai,Anita,1
124,"The wontons were thin, not thick and chewy, almost melt in your mouth.",Hilton,Mumbai,Payal,0
125,"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",Hilton,Mumbai,Anita,1
126,We were sat right on time and our server from the get go was FANTASTIC!,Hilton,Mumbai,Payal,0
127,This is a GREAT place to eat!,Hilton,Mumbai,Anita,1
128,The jalapeno bacon is soooo good,Hilton,Mumbai,Abhi,1
129,The service was poor and thats being nice.,Taj,Mumbai,Anita,1
130,The service was poor and thats being nice.,Taj,Mumbai,Abhi,1
131,The service was poor and thats being nice..,Taj,Mumbai,Anita,1
132,The place was not clean and the food oh so stale!,Taj,Mumbai,Abhi,1
133,"The chicken dishes are OK, the beef is like shoe leather.",Taj,Mumbai,Arjun,0
134,But the service was beyond bad,Taj,Mumbai,Sayali,0
135,"I'm so happy to be here!!!""",Taj,Mumbai,Anita,0
136,Tasted like dirt.,Taj,Mumbai,Sayali,0
137,The block was amazing.,Taj,Mumbai,Abhi,0
138,Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,Taj,Mumbai,Arjun,0
139,My sashimi was poor quality being soggy and tasteless,Taj,Mumbai,Sayali,1
140,Great time - family dinner on a Sunday night.,Taj,Mumbai,Anita,0
141,"the food is not tasty at all, not to say its ""real traditional Hunan style"".",Taj,Mumbai,Sayali,1
142,"What did bother me, was the slow service",Taj,Mumbai,Anita,0
143,The flair bartenders are absolutely amazing!,Taj,Mumbai,Sayali,1
144,Their frozen margaritas are WAY too sugary for my taste.,ITC,Mumbai,Sayali,0
145,These were so good we ordered them twice.,ITC,Mumbai,Anita,1
146,My girlfriend's veal was very bad.,ITC,Mumbai,Abhi,0
147,"Unfortunately, it was not good.",ITC,Mumbai,Anita,1
148,I had a pretty satifying experience,ITC,Mumbai,Abhi,0
149,Join the club and get awesome offers via email,ITC,Mumbai,Payal,0
150,The nachos are a MUST HAVE!,ITC,Mumbai,Anita,1
151,We will not be coming back.,ITC,Mumbai,Payal,0
152,"Great atmosphere, friendly and fast service.",ITC,Mumbai,Anita,1
153,Once your food arrives it's meh,ITC,Mumbai,Payal,1
154,Do not waste your money here!,Maratha,Mumbai,Anita,1
155,The crï¿½pe was delicate and thin and moist.,Maratha,Mumbai,Payal,0
156,Won't ever go here again.,Maratha,Mumbai,Anita,0
157,Food quality has been horrible.,Maratha,Mumbai,Payal,1
158,The service here is fair at best.,Maratha,Mumbai,Anita,1
159,the potatoes were great and so was the biscuit.,Maratha,Mumbai,Payal,1
160,So flavorful and has just the perfect amount of heat.,Maratha,Mumbai,Anita,1
161,The price is reasonable and the service is great.,Maratha,Mumbai,Anita,1
162,"Went in for happy hour, great list of wines.",Maratha,Mumbai,Payal,1
163,"This place is pretty good, nice little vibe in the restaurant.",Maratha,Mumbai,Anita,1
164,I probably won't be coming back here.,Maratha,Mumbai,Payal,0
165,"This place is not worth your time, let alone Vegas.",ITC,Kolkata,Om,0
166,this hotel is amazing,Novotel,Pune,Abhi,1
167,Not worth going,Courtyard,Pune,Arjun,0
168,wonderful hotel I have ever seen,Orchid,Pune,Om,1
169,My college name is PCCOE,Orchid,Pune,Anjali,0
170,Bad Service,Novotel,Pune,Anjali,0
171,very bad experience,Orchid,Pune,Om,0
172,wonderful experience,Novotel,Pune,Pranali,1
173,Not worth going very bad hotel,Novotel,Pune,Arjun,0
174,good nice ,Orchid,Pune,Suyasha,1
175,Orchid hotel is amazing,Orchid,Pune,Siddhi,1
176,Orchid hotel is amazing,Orchid,Pune,Om,1
177,hotel is the best,Orchid,Pune,Siddhi,1
178,hotel is good,Orchid,Pune,Suyasha,1
179,nice good ,Orchid,Pune,Pranali,1
180,"This place is not worth your time, let alone Vegas.",Orchid,Pune,Suyasha,0
181,not nice,Orchid,Pune,Pranali,1
182,nice good beautiful,Orchid,Pune,Sayali,1
183,"This place is not worth your time, let alone Vegas.",Orchid,Pune,Sayali,0
184,Orchid hotel is amazing,Orchid,Pune,Anita,1
185,Orchid hotel is amazing,Orchid,Pune,Sayali,1
186,"This place is not worth your time, let alone Vegas.",Orchid,Pune,Anita,0
187,abcde,Orchid,Pune,Sayali,0
188,was worth going to the hotel,Novotel,Pune,Anita,0
189,Nice hotel with good staff,Courtyard,Pune,Sayali,1
190,very good service ,Orchid,Pune,Sayali,1
191,bad service,Maratha,Mumbai,Anita,0
192,nice ,Oberoi,Kolkata,Anita,1
193,this hotel is good,Leela,Bangalore,Sayali,1
194,nice ,ITC,Mumbai,Abhi,1
195,nice hotel,Conrad,Pune,Arjun,1
196,this hotel is good,Hilton,Mumbai,Aditya,1
197,good service,WelcomHotel,Bangalore,Suyasha,1
198,very good service ,Oberoi,Kolkata,Abhi,1
199,bad service,Novotel,Pune,Arjun,0
200,bad service,Maratha,Mumbai,Abhi,0
201,bad service,Oberoi,Kolkata,Siddhi,0
202,bad service,Leela,Bangalore,Abhi,0
203,this hotel is good,Courtyard,Pune,Arjun,1
204,nice hotel,Courtyard,Pune,Abhi,1
205,good service,Courtyard,Pune,Suyasha,1
206,very nice service loved it,Leela,Bangalore,Abhi,1
207,good nice ,Leela,Bangalore,Arjun,1
208,This hotel services are very are amazing,Orchid,Pune,Abhi,1
209,the hotel is having very good staff and services,Oberoi,Kolkata,Suyasha,1
210,Hotel is having good service,Conrad,Pune,Abhi,1
211,"This place is not worth your time, let alone Vegas.",Courtyard,Pune,Siddhi,0
212,very nice hotel,Orchid,Pune,Suyasha,1
213,very bad experience,Orchid,Pune,Abhi,0
214,very bad ,Hilton,Mumbai,Arjun,0
215,very nice experience,ITC,Kolkata,Siddhi,1
216,"Very convenient, since we were staying at the MGM!",Novotel,Pune,Abhi,0
217,hotel is amazing,Conrad,Pune,Pranali,1
218,not worth going,Courtyard,Pune,Abhi,0
219,not good,ITC,Mumbai,Anita,1
220,Good Staff,Hilton,Mumbai,Pranali,1
221,Good Service and staff,Orchid,Pune,Anita,1
222,Nice Hotel,Orchid,Pune,Abhi,1
223,sds,Orchid,Pune,Anita,0
224,not worth going,Orchid,Pune,Aditya,0
225,"This place is not worth your time, let alone Vegas.",Orchid,Pune,Anita,0
226,beautiful hotel,Orchid,Pune,Abhi,1
227,beautiful hotel,Orchid,Pune,Aditya,1
228,good service,Novotel,Pune,Abhi,1
229,this hotel is good,Orchid,Pune,Arjun,1
230,good service,Novotel,Pune,Sayali,1
231,nice hotel,Conrad,Pune,Abhi,1
232,good service,Courtyard,Pune,Aditya,1
233,nice hotel,Hilton,Mumbai,Sayali,1
234,very good service ,Taj,Mumbai,Aditya,1
235,bad service,ITC,Mumbai,Arjun,0
236,nice hotel,Maratha,Mumbai,Sayali,1
237,this hotel is good,ITC,Kolkata,Arjun,1
238,very good service ,Oberoi,Kolkata,Sayali,1
239,very good service ,Taj,Kolkata,Abhi,1
240,good service,Marriott,Kolkata,Arjun,1
241,good service,WelcomHotel,Bangalore,Anita,1
242,this hotel is good,Leela,Bangalore,Abhi,1
243,nice hotel,Conrad,Bangalore,Anita,1
244,bad service,Windsor,Bangalore,Abhi,0
245,good service,Orchid,Pune,Pranali,1
246,good service,Orchid,Pune,Arjun,1
247,very good service ,Orchid,Pune,Siddhi,1
248,nice hotel,Orchid,Pune,Suyasha,1
249,this hotel is good,Orchid,Pune,Om,1
250,very good service ,Orchid,Pune,Suyasha,1
251,bad service,Orchid,Pune,Abhi,0
252,very good service ,Orchid,Pune,Om,1
253,this hotel is good,Orchid,Pune,Payal,1
254,nice hotel,Orchid,Pune,Anita,1
255,bad service,Orchid,Pune,Abhi,0
256,bad service,Orchid,Pune,Om,0
257,bad service,Orchid,Pune,Payal,0
258,good service,Orchid,Pune,Om,1
259,nice hotel,Orchid,Pune,Payal,1
260,this hotel is good,Novotel,Pune,Abhi,1
261,nice hotel,Conrad,Pune,Anita,1
262,bad service,Courtyard,Pune,Abhi,0
263,bad service,Courtyard,Pune,Anita,0
264,bad service,Hilton,Mumbai,Abhi,0
265,nice ,Taj,Mumbai,Anita,1
266,nice hotel,ITC,Mumbai,Krishna,1
267,good service,Maratha,Mumbai,Anita,1
268,bad service,Novotel,Pune,Abhi,0
269,nice hotel,Taj,Mumbai,Krishna,1
270,bad service,Oberoi,Kolkata,Abhi,0
271,nice hotel,Orchid,Pune,Krishna,1
272,bad service,Orchid,Pune,Abhi,0
273,very good service ,Orchid,Pune,Anita,1
274,not good,Orchid,Pune,Krishna,1
275,not good,Orchid,Pune,Suyasha,1
276,bad service,Courtyard,Pune,Krishna,0
277,good service,Courtyard,Pune,Abhi,1
278,very bad hotel,Courtyard,Pune,Anita,0
279,bad service,Courtyard,Pune,Aditya,0
280,very bad hotel,Courtyard,Pune,Siddhi,0
281,good hotel and amenities,Courtyard,Pune,Anita,1
282,very bad service,Courtyard,Pune,Aditya,0
283,very very bad service,Courtyard,Pune,Anita,0
284,Service is great with staff happy to help,ITC,Kolkata,Siddhi,1
285,The location is good. The staff try very hard to please. Definitely not worth the money paid for it.,ITC,Kolkata,Abhi,0
286,"I would stay in this hotel again due to location, cleanliness, service and value to money.",ITC,Kolkata,Arjun,0
287,not worth going,ITC,Kolkata,Abhi,0
288,The puri bhaji and upma was super nice and tasty.,ITC,Kolkata,Arjun,1
289,"Thank you for making our stay so pleasant. Location is also bang on, you find everything near the hotel.",ITC,Kolkata,Abhi,1
290, Bad service. Small rooms. Careless reception. No room service.,Oberoi,Kolkata,Arjun,0
291,not worth going,ITC,Kolkata,Aditya,0
292,not worth going,Oberoi,Kolkata,Arjun,0
293,The service was beyond bad,Oberoi,Kolkata,Sayali,0
294,The hotel quality is equal to two starts hotel but they sell at for star hotel rates. Terrible lobby space.,Oberoi,Kolkata,Sayali,0
295,The hotel quality is equal to two starts hotel but they sell at for star hotel rates. Terrible lobby space.,Oberoi,Kolkata,Anita,0
296,The hotel quality is equal to two starts hotel but they sell at for star hotel rates. Terrible lobby space.,Oberoi,Kolkata,Aditya,0
297,not worth going,Oberoi,Kolkata,Anita,0
298,Bad Service,Oberoi,Kolkata,Sayali,0
299,Good staff,Oberoi,Kolkata,Aditya,1
300,"Clean rooms, fast check in, plenty of hot water and good shower.",Taj,Kolkata,Sayali,1
301,beautiful hotel and rooms,Taj,Kolkata,Aditya,1
302,I would stay here again but request a different room since I.,Taj,Kolkata,Meena,0
303,Good food quality and taste,Taj,Kolkata,Anita,1
304,Good Service and staff,Taj,Kolkata,Meena,1
305,not worth going,Taj,Kolkata,Anita,0
306,Very bad hotel small room ,Marriott,Kolkata,Abhi,0
307,Very bad experience,Marriott,Kolkata,Meena,0
308,No clean room. Had a bad experience.,Marriott,Kolkata,Anita,1
309,Very bad Food quality,Marriott,Kolkata,Sayali,0
310,not worth going,Marriott,Kolkata,Anita,0
311,amazing experience,Marriott,Kolkata,Meena,1
312,not worth going in this hotel,WelcomHotel,Bangalore,Anita,0
313,Bad staff and Services,WelcomHotel,Bangalore,Abhi,0
314,"This place is not worth your time, let alone Vegas.",WelcomHotel,Bangalore,Aditya,0
315,Bad food quality,WelcomHotel,Bangalore,Siddhi,0
316,Bad staff and Services,WelcomHotel,Bangalore,Suyasha,0
317,The puri bhaji and upma was super nice and tasty,WelcomHotel,Bangalore,Aditya,1
318,Service is great with staff happy to help,Leela,Bangalore,Payal,1
319,good hotel and amenities,Leela,Bangalore,Payal,1
320,The location is good. The staff try very hard to please,Leela,Bangalore,Anita,1
321,Food was really good and I got full petty fast.,Leela,Bangalore,Abhi,1
322,The puri bhaji and upma was super nice and tasty.,Leela,Bangalore,Pranali,1
323,very bad experience.,Leela,Bangalore,Payal,0
324,hotel is amazing,Conrad,Bangalore,Krishna,1
325,hotel is the best in services,Conrad,Bangalore,Arjun,1
326,"This place is not worth your time, let alone Vegas.",Conrad,Bangalore,Krishna,0
327,not worth going. Bad service,Conrad,Bangalore,Payal,0
328,Food quality has been horrible.,Conrad,Bangalore,Anita,1
329,Bad food quality,Conrad,Bangalore,Payal,0
330,very very bad service,Windsor,Bangalore,Anita,0
331,Bad service. Small rooms. Careless reception. No room service.,Windsor,Bangalore,Payal,0
332,not worth going,Windsor,Bangalore,Abhi,0
333,good hotel and amenities and food quality,Windsor,Bangalore,Arjun,1
334,not worth going,Windsor,Bangalore,Siddhi,0
335,"This place is not worth your time, let alone Vegas.",Windsor,Bangalore,Abhi,0
336,good hotel and amenities,ITC,Kolkata,Payal,1
337,not worth going,ITC,Kolkata,Anita,0
338,not worth going,ITC,Kolkata,Payal,0
339,"This place is not worth your time, let alone Vegas.",ITC,Kolkata,Arjun,0
340,Hotel is having good service,ITC,Kolkata,Abhi,1
341,Bad service. Small rooms. Careless reception. No room service.,ITC,Kolkata,Payal,0
342,Generous portions and great taste.,ITC,Kolkata,Pranali,1
343,Bad food quality,ITC,Kolkata,Payal,0
344,Not worth going very bad hotel,ITC,Kolkata,Anita,0
345,"This place is pretty good, nice little vibe in the restaurant",ITC,Kolkata,Payal,1
346,wonderful hotel I have ever seen,Oberoi,Kolkata,Anita,1
347,the hotel is having very good staff and services,Oberoi,Kolkata,Pranali,1
348,not worth going. Bad service,Oberoi,Kolkata,Arjun,0
349,"This place is not worth your time, let alone Vegas.",Oberoi,Kolkata,Payal,0
350,Bad food quality,Oberoi,Kolkata,Payal,0
351,The puri bhaji and upma was super nice and tasty.,Oberoi,Kolkata,Payal,1
352,Bad service. Small rooms. Careless reception. No room service.,Orchid,Pune,Arjun,0
353,not worth going,Orchid,Pune,Meena,0
354,Bad staff and Services,Orchid,Pune,Payal,0
355,not worth going,Hilton,Mumbai,Meena,0
356,The Staff is good and services also,Hilton,Mumbai,Payal,1
357,Bad service. Small rooms. Careless reception. No room service.,Hilton,Mumbai,Abhi,0
358,not worth going,Taj,Mumbai,Payal,0
359,Bad staff and Services,Hilton,Mumbai,Meena,0
360,good hotel and amenities,Orchid,Pune,Payal,1
361,amazing experience,Orchid,Pune,Payal,1
362,good staff and nice service,Orchid,Pune,Rutu,1
363,good staff and nice service,Orchid,Pune,Meena,1
364,not worth going,Hilton,Mumbai,Anushka,0
365,"This place is not worth your time, let alone Vegas.",Hilton,Mumbai,Anushka,0
366,very bad experience,ITC,Mumbai,Guru,0
367,very nice experience,ITC,Kolkata,Anjali,1
368,Bad staff and Services,WelcomHotel,Bangalore,Rutu,0
369,very good service ,Orchid,Pune,Vamika,1
370,bad service,ITC,Kolkata,Suyasha,0
371,very bad hotel,Oberoi,Kolkata,Suyasha,0
372,this hotel is good,Taj,Kolkata,Suyasha,1
373,bad service,Marriott,Kolkata,Suyasha,0
374,good service,ITC,Kolkata,Suyasha,1
375,bad service,WelcomHotel,Bangalore,Suyasha,0
376,very bad hotel,Leela,Bangalore,Suyasha,0
377,good service,Conrad,Bangalore,Suyasha,1
378,this hotel is good,Windsor,Bangalore,Suyasha,1
379,good service,Taj,Mumbai,Suyasha,1
380,bad service,Oberoi,Kolkata,Suyasha,0
394,nice hotel,Orchid,Pune,Suyasha,1
395,bad service,Taj,Mumbai,Vamika,0
